ifc,xmin,ymin,zmin,xmax,ymax,zmax
data/TestProjects/Test/3D/IFC/IFC Schependomlaan.ifc,-1.000001,-1.000001,-1.7000009999999999,22.950000869575,23.46500100001,13.35648944466
data/TestProjects/TinyHouse_test/3D/IFC/TestHouse.ifc,-1.0001000000000009,-1.0051000000000025,-1.0001000000000033,27.1485907798277,17.881750354955603,4.0001
